Category,Variable,Definition
State-Level,State-level Incident Positive Cases,State-level incident (new) positive cases (confirmed only)
State-Level,State-level Incident Positive Cases: 7-day moving average,Are incedent positive cases averaged over 7 days (in graphical or table format); comment out if the moving average is not 7 days
State-Level,State-level Incident Positive Cases: Per Capita Rate,Are incident positive cases presented as a per capita rate?
State-Level,State-level Probable Cases,Are probable or non-confirmed cases reported at the state-level?
State-Level,State-level Cumulative Cases,Are cumulative cases reported at the state-level?
State-Level,State-level Incident Total Tests,"state-level incident (new) total tests, or incident negative tests"
State-Level,State-level Incident Total Tests: 7-day moving average,Are incident tests averaged over 7 days (in graphical or table format?); comment out if the moving average is not 7 days
State-Level,State-level Incident Total Tests: Per Capita Rate,Are incident tests presented as a per capita rate?
State-Level,State-level Cumulative Tests,Are cumulative tests reported at the state level?
State-Level,State-level Incident Deaths,state-level incident (new) deaths (confirmed positive test only)
State-Level,State-level Incident Deaths: 7-day moving average,Are incedent deaths averaged over 7 days (in graphical or table format); comment out if the moving average is not 7 days
State-Level,State-level Incident Deaths: Per Capita Rate,Are incident deaths presented as a per capita rate?
State-Level,State-level Probable Incident Deaths,Are probable or non-confirmed deaths reported at the state-level?
State-Level,State-level Cumulative Deaths,Are cumulative deaths reported at the state level?
County-Level,County-level Incident Positive Cases,County-level incident (new) positive cases (confirmed only)
County-Level,County-level Incident Positive Cases: 7-day moving average,Are incedent positive cases averaged over 7 days (in graphical or table format); comment out if the moving average is not 7 days
County-Level,County-level Incident Positive Cases: Per Capita Rate,Are incident positive cases presented as a per capita rate?
County-Level,County-level Cumulative Cases,Are cumulative cases reported at the county-level?
County-Level,County-level Incident Total Tests,"County-level incident (new) total tests, or incident negative tests"
County-Level,County-level Incident Total Tests: 7-day moving average,Are incident tests averaged over 7 days (in graphical or table format?); comment out if the moving average is not 7 days
County-Level,County-level Incident Total Tests: Per Capita Rate,Are incident tests presented as a per capita rate?
County-Level,County-level Cumulative Tests,Are cumulative tests reported at the county level?
County-Level,County-level Incident Deaths,County-level incident (new) deaths (confirmed positive test only)
County-Level,County-level Incident Deaths: 7-day moving average,Are incedent deaths averaged over 7 days (in graphical or table format); comment out if the moving average is not 7 days
County-Level,County-level Incident Deaths: Per Capita Rate,Are incident deaths presented as a per capita rate?
County-Level,County-level Cumulative Deaths,Are cumulative deaths reported at the county level?
Demographics,Race Categories Consistent with Census Categories,"Do these categories include, at a minimum, the census categories (i.e., White, Black or African American, American Indian or Alaska Native (AIAN), Asian, Native Hawaiian or Other Pacific Islander)?"
Demographics,Cumulative Cases by Race,Are cumulative cases reported at the race-level?
Demographics,Cumulative Tests by Race,Are cumulative tests reported at the race level?
Demographics,Cumulative Deaths by Race,Are cumulative deaths reported at the race level?
Demographics,Ethnicity Categories Consistent with Census Categories,"Do these categories include, at a minimum, the census categories (i.e., Hispanic/Latino/Spanish origin, Non-Hispanic)?"
Demographics,Cumulative Cases by Ethnicity,Are cumulative cases reported at the ethnicity-level?
Demographics,Cumulative Tests by Ethnicity,Are cumulative tests reported at the ethnicity level?
Demographics,Cumulative Deaths by Ethnicity,Are cumulative deaths reported at the ethnicity level?
